,전출지별,전입지별,2017_x,2018_x,2019_x,2020_x,2021_x,거리,전입지 면적,2017_y,2018_y,2019_y,2020_y,2021_y,2017,2018,2019,2020,2021
34,인천광역시,대구광역시,1590,1502,1542,1577,1399,237.0663954,883698218.6,2475231,2461769,2438031,2418346,2385412,2948542,2954642,2957026,2942828,2948375
35,인천광역시,광주광역시,1518,1451,1349,1543,1422,157.1490984,501113181.6,1463770,1459336,1456468,1450062,1441611,2948542,2954642,2957026,2942828,2948375
36,인천광역시,대전광역시,2552,2263,2359,2476,2407,110.079271,539503587.6,1502227,1489936,1474870,1463882,1452251,2948542,2954642,2957026,2942828,2948375
37,인천광역시,울산광역시,962,778,757,793,840,322.5413622,1062327677,1165132,1155623,1148019,1136017,1121592,2948542,2954642,2957026,2942828,2948375
38,인천광역시,세종특별자치시,1265,1125,1186,1117,1038,94.96127006,464918346.3,280100,314126,340575,355831,371895,2948542,2954642,2957026,2942828,2948375
39,인천광역시,경기도,67838,72932,70868,81497,67980,34.41294774,10196731503,12873895,13077153,13239666,13427014,13565450,2948542,2954642,2957026,2942828,2948375
40,인천광역시,강원도,5396,5125,5190,5544,5421,175.5355725,16829671465,1550142,1543052,1541502,1542840,1538492,2948542,2954642,2957026,2942828,2948375
41,인천광역시,충청북도,4051,4191,3999,4268,4140,117.2261431,7406988695,1594432,1599252,1600007,1600837,1597427,2948542,2954642,2957026,2942828,2948375
42,인천광역시,충청남도,8730,8194,7671,8102,8302,61.60093359,8246960405,2116770,2126282,2123709,2121029,2119257,2948542,2954642,2957026,2942828,2948375
43,인천광역시,전라북도,3502,3087,2970,3321,3122,118.2102112,8072147335,1854607,1836832,1818917,1804104,1786855,2948542,2954642,2957026,2942828,2948375
44,인천광역시,전라남도,3205,3089,3227,3242,3112,178.9233974,12358940175,1896424,1882970,1868745,1851549,1832803,2948542,2954642,2957026,2942828,2948375
45,인천광역시,경상북도,3352,3173,3274,3394,3563,248.8373746,19034795138,2691706,2676831,2665836,2639422,2626609,2948542,2954642,2957026,2942828,2948375
46,인천광역시,경상남도,2919,2712,2700,2719,2817,259.4550868,10541895014,3380404,3373988,3362553,3340216,3314183,2948542,2954642,2957026,2942828,2948375
47,인천광역시,제주특별자치도,2713,2326,2253,2295,2342,269.6397498,1850278724,657083,667191,670989,674635,676759,2948542,2954642,2957026,2942828,2948375
48,광주광역시,서울특별시,10561,10859,10727,11232,10330,160.8880494,605243961.2,9857426,9765623,9729107,9668465,9509458,1463770,1459336,1456468,1450062,1441611
49,광주광역시,부산광역시,1135,1117,1102,1182,1128,243.8051835,770170750.8,3470653,3441453,3413841,3391946,3350380,1463770,1459336,1456468,1450062,1441611
50,광주광역시,대구광역시,647,614,545,555,568,194.8707958,883698218.6,2475231,2461769,2438031,2418346,2385412,1463770,1459336,1456468,1450062,1441611
51,광주광역시,인천광역시,2000,1993,2035,1887,1971,157.1490984,1066465187,2948542,2954642,2957026,2942828,2948375,1463770,1459336,1456468,1450062,1441611
52,광주광역시,대전광역시,1383,1475,1389,1519,1350,99.04368505,539503587.6,1502227,1489936,1474870,1463882,1452251,1463770,1459336,1456468,1450062,1441611
53,광주광역시,울산광역시,322,342,355,355,257,274.6563501,1062327677,1165132,1155623,1148019,1136017,1121592,1463770,1459336,1456468,1450062,1441611
54,광주광역시,세종특별자치시,777,897,754,837,794,100.3170844,464918346.3,280100,314126,340575,355831,371895,1463770,1459336,1456468,1450062,1441611
55,광주광역시,경기도,9812,10740,10264,10631,10116,153.1284576,10196731503,12873895,13077153,13239666,13427014,13565450,1463770,1459336,1456468,1450062,1441611
56,광주광역시,강원도,859,730,783,826,845,230.2849529,16829671465,1550142,1543052,1541502,1542840,1538492,1463770,1459336,1456468,1450062,1441611
57,광주광역시,충청북도,910,1028,1023,997,1067,136.4541884,7406988695,1594432,1599252,1600007,1600837,1597427,1463770,1459336,1456468,1450062,1441611
58,광주광역시,충청남도,1986,2016,1780,1954,1910,100.5014679,8246960405,2116770,2126282,2123709,2121029,2119257,1463770,1459336,1456468,1450062,1441611
59,광주광역시,전라북도,5288,5072,4940,5537,5239,46.69957382,8072147335,1854607,1836832,1818917,1804104,1786855,1463770,1459336,1456468,1450062,1441611
60,광주광역시,전라남도,35140,35234,33024,33145,31992,26.36465658,12358940175,1896424,1882970,1868745,1851549,1832803,1463770,1459336,1456468,1450062,1441611
61,광주광역시,경상북도,829,826,766,770,839,222.172144,19034795138,2691706,2676831,2665836,2639422,2626609,1463770,1459336,1456468,1450062,1441611
62,광주광역시,경상남도,1242,1284,1142,1233,1216,187.2673384,10541895014,3380404,3373988,3362553,3340216,3314183,1463770,1459336,1456468,1450062,1441611
63,광주광역시,제주특별자치도,1191,1178,1024,1069,982,120.1135352,1850278724,657083,667191,670989,674635,676759,1463770,1459336,1456468,1450062,1441611
64,대전광역시,서울특별시,14118,14221,14725,15116,13854,92.98881359,605243961.2,9857426,9765623,9729107,9668465,9509458,1502227,1489936,1474870,1463882,1452251
65,대전광역시,부산광역시,1762,1608,1743,1855,1796,202.4381726,770170750.8,3470653,3441453,3413841,3391946,3350380,1502227,1489936,1474870,1463882,1452251
66,대전광역시,대구광역시,1524,1525,1473,1608,1502,134.8400759,883698218.6,2475231,2461769,2438031,2418346,2385412,1502227,1489936,1474870,1463882,1452251
67,대전광역시,인천광역시,2458,2577,2567,2594,2511,110.079271,1066465187,2948542,2954642,2957026,2942828,2948375,1502227,1489936,1474870,1463882,1452251
68,대전광역시,광주광역시,1026,1135,1091,1150,1124,99.04368505,501113181.6,1463770,1459336,1456468,1450062,1441611,1502227,1489936,1474870,1463882,1452251
69,대전광역시,울산광역시,621,595,641,700,601,221.9300878,1062327677,1165132,1155623,1148019,1136017,1121592,1502227,1489936,1474870,1463882,1452251
70,대전광역시,세종특별자치시,23707,22180,20314,15425,14044,15.24572808,464918346.3,280100,314126,340575,355831,371895,1502227,1489936,1474870,1463882,1452251
71,대전광역시,경기도,14807,15399,16320,16584,16071,85.77273546,10196731503,12873895,13077153,13239666,13427014,13565450,1502227,1489936,1474870,1463882,1452251
72,대전광역시,강원도,2302,2094,2297,2217,2251,132.0642287,16829671465,1550142,1543052,1541502,1542840,1538492,1502227,1489936,1474870,1463882,1452251
73,대전광역시,충청북도,7653,7902,8280,8869,8738,37.72433475,7406988695,1594432,1599252,1600007,1600837,1597427,1502227,1489936,1474870,1463882,1452251
74,대전광역시,충청남도,15321,14673,14453,15797,15288,56.62676733,8246960405,2116770,2126282,2123709,2121029,2119257,1502227,1489936,1474870,1463882,1452251
75,대전광역시,전라북도,3627,3358,3424,3816,3703,55.48310383,8072147335,1854607,1836832,1818917,1804104,1786855,1502227,1489936,1474870,1463882,1452251
